Device,Time,Type,Longitude,Latitude,File,Bearing,Velocity,Distance,Temperature,Voltage,TowerLat,TowerLon
dev860264051925924,2026-05-19 14:20:12+00:00,gps,10.71559765625,59.939812499999995,_track.qo,,,,38.0625,4.609375,59.93542,10.725854
dev860264051925924,2026-05-20 10:06:34+00:00,gps,10.72081640625,59.9388425,_track.qo,,,,30.9375,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:06:39+00:00,gps,10.72073828125,59.9388175,_track.qo,241.49023,1.0258099,5.1290493,30.9375,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:06:44+00:00,gps,10.720691406250001,59.9388275,_track.qo,288.62585,0.58837605,2.9418802,30.9375,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:07:43+00:00,gps,10.72086328125,59.9384425,_track.qo,167.57805,0.7463966,44.0374,30.9375,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:08:43+00:00,gps,10.721480468749998,59.9379425,_track.qo,147.82225,1.0889775,65.338646,30.9375,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:09:44+00:00,gps,10.72230859375,59.9373125,_track.qo,146.84808,1.3734571,83.780876,31.5625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:10:41+00:00,gps,10.723488281249999,59.9374825,_track.qo,73.84915,1.2011313,68.464485,31.5625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:11:41+00:00,gps,10.72455859375,59.9379625,_track.qo,48.19991,1.3364248,80.18549,31.5625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:12:46+00:00,gps,10.72579296875,59.9383825,_track.qo,55.828217,1.2732176,82.75914,31.5625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:13:45+00:00,gps,10.726871093749999,59.9388125,_track.qo,51.858448,1.2981957,76.593544,31.5625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:14:45+00:00,gps,10.72727734375,59.9392925,_track.qo,22.782097,0.9744476,58.466854,31.0625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:15:43+00:00,gps,10.72626953125,59.939747499999996,_track.qo,312.24838,1.305685,75.72974,31.0625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:16:41+00:00,gps,10.72528515625,59.940132500000004,_track.qo,307.33847,1.195357,69.3307,31.0625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:17:45+00:00,gps,10.72533984375,59.9406775,_track.qo,2.8824272,0.95818365,61.323753,31.0625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:18:44+00:00,gps,10.726097656250001,59.9412275,_track.qo,34.763943,1.2601413,74.34833,31.0625,4.640625,59.942383,10.72663
dev860264051925924,2026-05-20 10:22:40+00:00,gps,10.72312890625,59.9404425,_track.qo,242.11443,0.79216343,186.95058,30.3125,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:22:46+00:00,gps,10.723027343750001,59.940452500000006,_track.qo,283.2123,0.95814085,5.748845,30.3125,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:22:51+00:00,gps,10.72295703125,59.940432500000014,_track.qo,243.15576,0.9488536,4.744268,30.3125,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:23:41+00:00,gps,10.72284765625,59.9403725,_track.qo,222.31519,0.18105091,9.052546,30.3125,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:24:46+00:00,gps,10.722839843749998,59.9403775,_track.qo,322.25583,0.003966183,0.2578019,33.25,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:25:45+00:00,gps,10.722839843749998,59.9403775,_track.qo,301.09335,0.003527728,0.20813595,33.25,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:26:44+00:00,gps,10.722628906250002,59.940177500000004,_track.qo,207.7863,0.4215504,24.871473,33.25,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 10:27:43+00:00,gps,10.72341015625,59.9399125,_track.qo,124.12927,0.89149576,52.59825,33.25,4.640625,59.940918,10.706543
dev860264051925924,2026-05-20 12:44:31+00:00,gps,10.722980468749999,59.9393625,_track.qo,,,,25.6875,4.5351562,59.937818,10.722374
dev860264051925924,2026-05-20 12:44:37+00:00,gps,10.723027343750001,59.9393125,_track.qo,158.38979,1.0926936,6.5561614,25.6875,4.5117188,59.937818,10.722374
dev860264051925924,2026-05-20 12:45:34+00:00,gps,10.722925781250002,59.9392475,_track.qo,220.33284,0.15213782,8.671855,25.6875,4.5234375,59.937818,10.722374
dev860264051925924,2026-05-20 12:46:34+00:00,gps,10.722894531249999,59.9392425,_track.qo,243.21445,0.033173084,1.990385,30.625,4.5585938,59.937818,10.722374
dev860264051925924,2026-05-20 12:47:33+00:00,gps,10.722894531249999,59.9392425,_track.qo,263.55292,0.0008392271,0.049514398,30.625,4.5546875,59.937818,10.722374
dev860264051925924,2026-05-20 12:48:35+00:00,gps,10.72288671875,59.9392425,_track.qo,329.35938,0.004377456,0.27140227,30.625,4.5585938,59.937818,10.722374
dev860264051925924,2026-05-20 12:48:46+00:00,gps,10.722894531249999,59.9392425,_track.qo,,,,28.6875,4.5820312,59.937818,10.722374
dev860264051925924,2026-05-20 13:06:20+00:00,gps,10.72201953125,59.9387125,_track.qo,,,,28.125,4.6132812,59.940918,10.706543
dev860264051925924,2026-05-20 13:06:25+00:00,gps,10.722035156250001,59.93872250000001,_track.qo,22.308157,0.40744582,2.037229,28.125,4.6132812,59.940918,10.706543
dev860264051925924,2026-05-20 13:07:08+00:00,gps,10.721425781250002,59.938267499999995,_track.qo,213.86197,1.4217054,61.133327,28.125,4.609375,59.940918,10.706543
dev860264051925924,2026-05-20 13:08:06+00:00,gps,10.72024609375,59.9386975,_track.qo,306.21988,1.397279,81.04218,32.625,4.6054688,59.940918,10.706543
dev860264051925924,2026-05-20 13:09:11+00:00,gps,10.721285156250001,59.9394525,_track.qo,34.779396,1.5554549,101.10456,32.625,4.6054688,59.940918,10.706543
dev860264051925924,2026-05-20 13:10:09+00:00,gps,10.722332031250001,59.939812499999995,_track.qo,55.07799,1.2264622,71.13481,32.625,4.6054688,59.940918,10.706543
dev860264051925924,2026-05-20 13:11:09+00:00,gps,10.723253906250001,59.9398725,_track.qo,83.37909,0.8591703,51.55022,32.625,4.6054688,59.940918,10.706543
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.5,5.0,59.937949,10.714462
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,33.0,5.0,59.937949,10.714462
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.125,3.5703125,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.125,3.5722656,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,31.6875,5.0,59.903603,10.522899
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,28.75,3.5546875,59.900845,10.51708
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,28.75,3.5566406,59.900845,10.51708
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,25.875,3.5585938,59.900845,10.51708
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,24.3125,3.7089844,59.900845,10.51708
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,31.1875,3.5585938,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,33.25,3.5625,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.875,3.5742188,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.9375,3.6523438,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,25.375,3.7011719,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,31.125,3.6210938,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.3125,3.6933594,59.893658,10.512485
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,28.5,5.0,59.929921,10.720322
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.0625,3.5527344,59.929921,10.720322
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.0625,3.5332031,59.929921,10.720322
dev860264051925924,2026-05-20 13:11:14+00:00,gps,10.72324609375,59.9398425,_track.qo,,,,32.125,3.6328125,59.940977,10.716523

